Subject Common Name,Subject Org Name,Country Name,Org Unit Name,Validity Period,Key Signature,Serial Number,SHA1,SHA2,Issuer Subject Common Name,Issuer Subject Org Name,Issuer Country,Issuer Org Unit Name
Symantec Class 3 SHA256 Code Signing CA - G2,Symantec Corporation,US,Symantec Trust Network,2014-07-22 => 2024-07-21,RSA 2048 / sha256WithRSAEncryption,7c1b35354ae7db74e7415f1169ca6ba8,1392E4C7FF25B9517E931077BBE2664DC87EF70D,2042E38FC57388F1DB3222C7AB5BE11C6EDB7E454BF45487AE44FF2D6A2B7645,VeriSign Universal Root Certification Authority,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 2008 VeriSign, Inc. - For authorized use only"
CertiNet S.A. Firma Electronica Avanzada - G2,CertiNet S.A.,CL,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-08-18 => 2024-09-15,RSA 2048 / sha256WithRSAEncryption,2734b44ccf1f20ec5f24a52849df05a8,9AD0067524CA98ED1DA26DE780404FA74C433551,163DDECF86B4708A77705D106FD630C30331B1070C4BD9A36374AC0A68A83DD7,CertiSur Class 2 CA - G3,CertiSur S.A.,,Symantec Trust Network
National University of Singapore CA - G2,National University of Singapore,SG,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2014-09-18 => 2024-09-17,RSA 2048 / sha256WithRSAEncryption,269d7a5fd82a0538f2cb61af80a24b4c,6CC86471100145157D2885EF8EB7CB04796AB09B,438BA9C85C9A8C5506ACD1146ADA068B777A32FA2C78A6D4AB57241174881AB2,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Duerr Group Global IT CA,Duerr IT Service GmbH,DE,Class 2 DigiCert PKI Platform Individual Subscriber CA,2019-09-23 => 2024-09-23,RSA 2048 / sha256WithRSAEncryption,0a67d7bb33b367c3a650014f8ad9b784,8C15D72DE7A7045FB22CA492D4DB5D4BF067A708,B48CF36ABB49825C3B7C407866958C24085C938C60C7C1A48A18D00859CA348C,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
The Mauritius Commercial Bank Limited CA,The Mauritius Commercial Bank Limited,MU,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2014-09-30 => 2024-09-29,RSA 2048 / sha256WithRSAEncryption,725c0b3772e9e75a5ef9a2f4a7bac953,C24FA9A43C542A2A1EA65A295091200731B210A1,0A646FDC704F494A67739A7E99FD74955BB0AF1ABA622CEFE000B39557C5FC81,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Saudi Enaya Public Issuing CA,Saudi Enaya Cooperative Insurance Company,SA,Class 2 DigiCert PKI Platform Individual Subscriber CA,2019-10-31 => 2024-10-31,RSA 2048 / sha256WithRSAEncryption,09d8d9334d71ad6ef931d8334b3509ff,83855686AF962153A92FDA1BEF0586B6147E455C,8F76367A7ADAE4642258E6586A2A9642A00F3ECBB1EB725F18B5E7AD3D95AED9,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
AGC Public CA,Computer Sciences Corporation,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2014-11-11 => 2024-11-10,RSA 2048 / sha256WithRSAEncryption,5843dc7507efe5e57bb618d320a70c16,5EB159C4597F4204D4DDA7DFC7AB62C3C5DA3CBC,5E71C746D45EBCFD6D2DCE4A2DABCCD9335E3AD8D63B349989341911ECD70E88,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
TERENA eScience Personal CA 3,TERENA,NL,,2014-11-18 => 2024-11-18,RSA 2048 / sha256WithRSAEncryption,02b7c9ddadd2bd09eb59c45c900c6078,B13CDBC06C113835C95420F7A0D78F51346D727E,FDA947208BFA3203A6C57B8714A647B7009E5168E88951345450B1D2D3F91A7D,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
TERENA eScience SSL CA 3,TERENA,NL,,2014-11-18 => 2024-11-18,RSA 2048 / sha256WithRSAEncryption,0cb6a0be500e3fa406b575700e0ffe6c,F351BD131EDC6C067B3484EC08EB534C7FA75725,E1BE6BBBB70F5A241E736FC44C6A2160BF6CE19B95EDD67BF7BE896E83778745,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
TERENA Personal CA 3,TERENA,NL,,2014-11-18 => 2024-11-18,RSA 2048 / sha256WithRSAEncryption,034bee171fb7e106372fd4724240bd2a,D356DA011E190B10BD219EFF205733784FCFA854,DD4E0C17900F3FC2A5B7B773AE40218AD73216B5CE5D285EBFFCE8830D0F034A,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
TERENA SSL CA 3,TERENA,NL,,2014-11-18 => 2024-11-18,RSA 2048 / sha256WithRSAEncryption,0870bcc5af3fdb959a91cb6aeeefe465,77B99BB2BD7522E17EC099EA7177516F27787CAD,BEB8EFE9B1A73C841B375A90E5FFF8048848E3A2AF66F6C4DD7B938D6FE8C5D8,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
TERENA SSL High Assurance CA 3,TERENA,NL,,2014-11-18 => 2024-11-18,RSA 2048 / sha256WithRSAEncryption,0b5c3435675b2467c0d73237f90d5f94,A78AABDE7F5B771540D333B505874C8204AAD206,BE6A0D9E1D115F2293F6ABF11B3EC8E882E24426EEEB09AAA503597993E77A25,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
TERENA Code Signing CA 3,TERENA,NL,,2014-11-18 => 2024-11-18,RSA 2048 / sha256WithRSAEncryption,0db9c611b3aaff74607b02065ebcaac5,72C197F7AB29382F5A17D07624D3662B98A8C40B,B7C6EBDC2A1B65EF1836DC00250C44E15703121052C1AB6B9D0385A058153AE3,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Cybertrust Global Root,"Cybertrust, Inc",,,2014-12-03 => 2024-12-03,RSA 2048 / sha1WithRSAEncryption,0727bbdb,05F7E7142163C27C5B632F86FB10824AA9DAC366,24905145BD9B9BFE99C60354B49951BE0E709F1634CFBD0E370FEB9F068ED6C3,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Cybertrust Global Root,"Cybertrust, Inc",,,2014-12-03 => 2024-12-03,RSA 2048 / sha256WithRSAEncryption,0727bbda,2C089952358FA2B1A25210EC9F83A6F554295D41,E71D8C3BAF43F6B3352DF574A9F0D4A2065BF03DA179514B1FCC5D9BEC8C8FCD,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
TERENA Personal CA 3 G3,TERENA,NL,,2014-12-09 => 2024-12-09,EC 384 / sha384WithECEncryption,05bd12bdce9e5413455447615e7a44f1,3967291B5E5A4CFD859F18AD7C74082055B94478,C123F5AFACC9F9096809850355E5BF78CA9377348111B5167A964DDEDC044DE9,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
TERENA SSL CA 3 G3,TERENA,NL,,2014-12-09 => 2024-12-09,EC 384 / sha384WithECEncryption,052c19d515394c68f18f60f72c97a96d,C22D31D1BB2EB43ED74A6AD47D06B392808A350C,C9D6913F3FEDDEFF184C9EE1D7E17C5AEC90886EED5CC3D6E98105831C8C0E0B,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Aetna Inc. Secure CA2,Aetna Inc,US,,2014-12-09 => 2024-12-09,RSA 2048 / sha256WithRSAEncryption,0cc2499082de9ece9e1d4b2bc59cbcd5,3927FC2253480D2C287E48D10C1BFDCD5DCF78C0,5D28761CBF304EAFCD127B34D614FE179AC7744F1552AF1C31298425AD05A275,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Aetna Inc. Secure EV CA,Aetna Inc,US,,2014-12-09 => 2024-12-09,RSA 2048 / sha256WithRSAEncryption,096d28d2118adcc3147d5de5f692de0a,DB03E08EE23B4A6C78F00FA7A4A078FF6207C910,0A163600631BD66267FB7AEAD25C538B2B7D72AD6416A2BBD285F654BB642F6D,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
TERENA Code Signing CA 3 G3,TERENA,NL,,2014-12-09 => 2024-12-09,EC 384 / sha384WithECEncryption,0d08b960864f192244521a006d7994e0,79B977CC9E839829FDE158A32765F80E6D93D90C,794C63DB244BA73FB286F15DAB8D0CA5425508381E98844954E63823BB5D7F74,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Aetna Inc. Secure EV CA,Aetna Inc,US,,2020-09-24 => 2024-12-09,RSA 2048 / sha256WithRSAEncryption,02e04ffb04e3341a06e5ce1074c24488,D45F7775E286A8764CEE709639CB342FA9EE0B04,A1448A015E1399C5A891812F0E88C6D847B221D21F9326A6626BA43A0EB612D9,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Aetna Inc. Secure CA2,Aetna Inc,US,,2020-09-24 => 2024-12-09,RSA 2048 / sha256WithRSAEncryption,0ec2f800c48bf0c0e679709a2e92825b,83CE7CD462C2C759A21355CF0DC7EE095E45C433,DDCBB4F3051D6E601310EB0E46B5BB99C5E8B99F7A539E367A987DEA030E318E,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
RWE Dea AG CA,RWE Dea AG,DE,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2014-12-11 => 2024-12-10,RSA 2048 / sha256WithRSAEncryption,4bebc4721eaa8a4d19d947c5c587ab98,501CA0E53B2C7CC32082DEBA5AE11CAE7FEB7B28,7FC6CAB96C16C850F457DCBBFB893539EA2664395F2409693789F41BFD64714E,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Cloudflare Inc RSA CA-2,"Cloudflare, Inc.",US,,2020-01-27 => 2024-12-31,RSA 2048 / sha256WithRSAEncryption,02d89a1573f3b3b8da145b5838982907,99976FFD4634930ADD8736D16503568E1A21C6CD,AEC863898F284D6CD4C6A3F6C3E6523480A359C33DAF66FAD3381849B8BB018B,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",US,,2020-01-27 => 2024-12-31,EC 256 / sha256WithECEncryption,0a3787645e5fb48c224efd1bed140c3c,B3DD7606D2B5A8B4A13771DBECC9EE1CECAFA38A,3ABBE63DAF756C5016B6B85F52015FD8E8ACBE277C5087B127A60563A841ED8A,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Symantec Class 2 Employee CA - G3,Symantec Corporation,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-01-06 => 2025-01-05,RSA 2048 / sha256WithRSAEncryption,1c372dcbb9703e6bb73ef3fad10b4206,F19ED092689032129526B7FC973A6129C3BBAFCE,2F320624CC3EBC01796080BEDEB5B2ED916F02A0AE5F537EDC4766BC455659DD,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
